"protein"	"m_diff"	"pval"	"adjpval"	"drug"
"FYB1"	1.49621162014899	0.000121549223243471	0.00953305422015871	"A-1331852"
"EXOC7"	0.313119433495981	0.000129521718051935	0.00991851750652081	"A-1331852"
"N4BP2"	0.342449239033273	0.000129857633044202	0.00991851750652081	"A-1331852"
"CD2AP"	0.45351994184591	0.000130374102244964	0.00991851750652081	"A-1331852"
"TCAIM"	0.562247460481156	0.000208513399797028	0.999751435384854	"A-419259"
"EIF1"	0.342835628692373	0.00153116418955774	0.999751435384854	"A-419259"
"PYGO2"	0.220195591341832	0.00201082233066678	0.999751435384854	"A-419259"
"POMK"	0.550128832574804	0.00207034702706249	0.999751435384854	"A-419259"
"RRAS2"	1.08566512367753	0.00207157276571715	0.999751435384854	"A-419259"
"KIAA0513"	1.36486738854925	0.00265418440772548	0.999751435384854	"A-419259"
"RNF130"	0.759411430201807	0.00298116515723842	0.999751435384854	"A-419259"
"CTNNB1"	0.506386612968757	0.00357295700956207	0.999751435384854	"A-419259"
"MYO1B"	0.998377859801441	0.00460086208133216	0.999751435384854	"A-419259"
"GPHN"	0.846404390597934	0.00469806742590565	0.999751435384854	"A-419259"
"SIRT7"	0.312344332072314	0.0048144454228499	0.999751435384854	"A-419259"
"TAB1"	0.136089541830717	0.00484510922462009	0.999751435384854	"A-419259"
"ZNF449"	0.939129638112069	0.00516664348056261	0.999751435384854	"A-419259"
"INTS3"	0.15913905922304	0.00632854533797734	0.999751435384854	"A-419259"
"LDLR"	0.726196480466026	0.00641987318652672	0.999751435384854	"A-419259"
"VPS41"	0.445823672756252	0.00655045070245648	0.999751435384854	"A-419259"
"PHF14"	0.262315966924631	0.00671087751062783	0.999751435384854	"A-419259"
"RARG"	1.05063065662697	0.00728066459680989	0.999751435384854	"A-419259"
"FBXL4"	0.359032724125012	0.00848272069410314	0.999751435384854	"A-419259"
"ARID2"	0.187063477551407	0.00887204017960298	0.999751435384854	"A-419259"
"S100A2"	0.545685584012595	0.00895251955250735	0.999751435384854	"A-419259"
"SPN"	0.458267756106838	0.00939008606636975	0.999751435384854	"A-419259"
"PPP2R1A"	0.075878960494447	0.0098167056872628	0.999751435384854	"A-419259"
"RPL36AL"	0.331111531457875	7.92295089037561e-09	8.30087564784652e-05	"Abemaciclib"
"BIN1"	1.22553276609317	3.86425615837943e-07	0.00057836873959059	"Abemaciclib"
